distance,gradient,time,climb,year
13.8,8,00:39:08,Alpe d'huez,2022
28.5,5.2,01:15:45,Croix de fer,2022
6.83,8.83,00:19:43,super planche des Belles Filles,2022
13.25,8.03,00:36:34,Hautacam,2022
10.24,8.39,00:29:58,Spandelles,2022
6.92,8.4,00:19:12,Peyragudes,2022
9.3,7.9,00:26:52,Peguere,2022
11.9,7.1,00:33:20,Telegraphe,2022
17.9,6.9,00:48:46,Galibier,2022
11.3,9.2,00:35:52,Granon,2022
12,6.5,00:30:00,Aspin,2022
10.7,7.3,00:26:24,Azet,2022
13.8,8,00:39:08,AlpeDuez,2022

15.60,8.77,00:48:24,Ventoux,2021
15.92,8.79,00:49:03,Portet,2021
17,7.4,00:49:12,Tourmalet,2021
7.5,8.3,00:22:25,ValLouron,2021
9.8,7.7,00:27:50,Pyersourde,2021
13.4,7.4,00:35:37,Luz Ardiden,2021
10.8,5.8,00:25:50,Envalira,2021
6.5,8.6,00:19:41,Beixalis,2021
6.1,8.1,00:20:00,Mont-Saxonnes,2021
9.1,8.9,00:27:08,Romme,2021
7.5,8.5,00:21:53,Colombiere,2021
6.1,8.1,00:20:00,Mont-Saxonnes,2021

5.9,8.5,00:16:10,Belles Filles,2020
19.4,6.0,00:49:05,Roselend,2020
14.8,6.4,00:40:45,Saisies,2020
7.1,6.7,00:19:55,Aravis,2020
6.1,11.1,00:21:15,Glieres,2020
19.3,7.9,01:00:45,Madeleine,2020
21.5,7.7,01:01:05,Loze,2020
9.8,7.7,00:24:35,Peyresourde,2020
9.3,7.6,00:24:30,Marie-Blanque,2020
11.3,8.1,00:34:40,SelleFromentel,2020
6.1,9.2,00:20:32,Biche,2020
17.6,7.1,00:46:24,GrandColombiere,2020


33.4,5.5,01:17:16,thorens,2019
12.8,7.5,00:35:30,Iseran,2019
8.4,7.6,00:29:07,Vars,2019
14.1,7.1,00:40:55,Izoard,2019
8.6,6.8,00:22:26,Galibier,2019
11.4,7.0,00:35:50,Lers,2019
9.3,7.9,00:27:25,Peguere,2019
11.1,7.1,00:28:03,Albis,2019
11.8,7.7,00:33:54,Soulor,2019
18.9,7.4,00:51:13,Tourmalet,2019
9.8,7.7,00:29:35,Peyresourde,2019
10.4,7.8,00:33:18,Hourquette,2019
7.0,7.5,00:21:40,Alsace,2019
7.0,8.7,00:20:02,Planche,2019

12,6.5,00:34:40,Aspin,2018
17,7.4,00:50:54,Tourmalet,2018
7.3,8.0,00:20:50,Soulor,2018
9.8,7.7,00:29:25,Peyresourde,2018
7.5,8.3,00:21:25,ValLouron,2018
16.1,8.7,00:49:37,Portet,2018
24.7,6.2,01:10:00,Madeleine,2018
28.5,5.2,01:14:15,CroixDeFer,2018
13.8,8,00:41:15,AlpeDuez,2018
11.3,7.1,00:35:08,CroixFry,2018
6.1,11.1,00:26:20,Glieres,2018
9.1,8.9,00:29:25,Romme,2018
7.5,8.5,00:21:55,Colombiere,2018

8.4,7.6,00:26:16,Vars,2017
14.1,7.1,00:38:15,Izoard,2017
24.1,5.3,01:00:46,Glandon,2017
11.9,7.1,00:32:38,Telegraphe,2017
17.9,6.9,00:49:15,Galibier,2017
8.5,7.3,00:22:03,PeyraTaillade,2017
10.2,8.1,00:32:00,Agnes,2017
5.6,7.2,00:14:13,LaTrape,2017
9.3,7.9,00:26:45,Peguere,2017
7.0,8.0,00:22:35,Mente,2017
11.7,7.9,00:34:10,Bales,2017
9.8,7.7,00:26:45,Peyresourde,2017
5.9,8.5,00:16:20,Filles,2017
8.5,10.2,00:31:40,Colombiere,2017
10.4,9.0,00:39:22,Biche,2017
8.8,10,00:30:41,Chat,2017


7.1,6.7,00:19:30,Aravis,2016
11.7,5.9,00:30:02,Colobiere,2016
14.0,7.1,00:39:18,Ramaz,2016
11.6,8.5,00:36:04,Joux-Plane,2016
9.1,7.4,00:27:30,Forclaz,2016
5.6,7.8,00:18:25,Forcalz2,2016
12.3,8.1,00:39:42,Bisanne,2016
10.0,8.0,00:27:35,Bettex,2016
6.0,8.2,00:16:45,Berthiand,2016
12.8,6.9,00:34:37,GrandColombiere,2016
8.4,7.6,00:23:00,GrandColombier,2016
15.1,7.3,00:39:44,VentouxChaletReynard,2016
16.3,5.8,00:38:36,Bonaigua,2016
19,5.5,00:53:38,Canto,2016
6.5,8.6,00:20:56,Beixalis,2016
10,7,00:26:42,Arcalis,2016
10.7,7.3,00:31:00,Azet,2016
7.1,7.9,00:20:48,Peyresourde,2016
12,6.5,00:30:03,Aspin,2016

28.5,5.2,01:07:05,CroixDeFer,2015
13.8,8,00:39:22,AlpeDhuez,2015
10,7.5,00:28:35,Chaussy,2015
5.7,6.9,00:16:00,Mollard,2015
18,6.1,00:44:28,Toussuire,2015
21.7,5.2,00:57:50,Glandon,2015
6.6,7.0,00:16:42,Allos,2015
6.3,6.4,00:14:16,Loup,2015
9.0,5.6,00:19:57,Manse,2015
14.2,5.9,00:42:15,Core,2015
13.1,6.1,00:34:20,lers,2015
15.9,7.9,00:45:30,Beille,2015
12,6.5,00:39:40,Aspin,2015
17,7.4,00:51:29,Tourmalet,2015
15.7,7.4,00:41:40,Soudet,2015
